Strain,For_profit_price,Non_Profit_price,Genome_Sequence_Availability,Deposited As,Strain_Designation,BSL,Product Format,Culture Medium,Growth_condition,Storage_conditions,Antibiotic Resistance,Comments,Application,Product Sheet,,,,
Streptococcus pyogenes Rosenbach (ATCC BAA-1065D-5),$336.00 ,$336.00 ,seqeunce available,NA,Genomic DNA from MGAS 2096  [ATCC BAA-1065],1,dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1065D-5.ashx,,,,
Magnetospirillum magneticum (ATCC 700264),$376.00 ,$319.60 ,seqeunce available,Magnetospirillum sp.,AMB-1,1,frozen,ATCC  1653: Revised magnetic Spirillum growth medium (MSGM),Temperature: 30Celsius Atmosphere: Microaerophilic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Produces magnetiteTransformation host,https://www.atcc.org/~/ps/700264.ashx,,,,
Lactobacillus casei (Orla-Jensen) Hansen and Lessel (ATCC 334D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Lactobacillus casei [ATCC 334],1,dried Total DNA: At least 5 ug in 1X TE bufferOD260/OD280:  1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/334D-5.ashx,,,,
Leptotrichia buccalis (Robin) Trevisan (ATCC 14201),$376.00 ,$319.60 ,NA,NA,"NCTC 10249 [C-1013-b, CCUG 34316, CIP 105792, DSM 1135, JCM 12969]",1,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/14201.ashx,,,,
Chlorobaculum tepidum (Wahlund et al.) Imhoff (ATCC 49652),$376.00 ,$319.60 ,NA,Chlorobium tepidum Wahlund et al.,TLS [CIP 105973],1,frozen,"ATCC  37: Chromatium medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 45Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Biotechnology,https://www.atcc.org/~/ps/49652.ashx,,,,
Klebsiella pneumoniae subsp. pneumoniae (Schroeter) Trevisan (ATCC 700721D-5),$314.00 ,$314.00 ,seqeunce available,Klebsiella pneumoniae (Schroeter) Trevisan,Genomic DNA from Klebsiella pneumoniae subsp. pneumoniae Strain MGH78578 [ATCC 700721],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700721D-5.ashx,,,,
Corynebacterium diphtheriae (Kruse) Lehmann and Neumann (ATCC 700971D-5),$336.00 ,$336.00 ,seqeunce available,NA,Genomic DNA from Corynebacterium diphtheriae strain NCTC 13129 [ATCC 700971],1,dried Total DNA: At least 5 ug in 1X TE buffer.OD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700971D-5.ashx,,,,
Methanocorpusculum labreanum Zhao et al. (ATCC 43576D-5),$314.00 ,$314.00 ,NA,NA,Genomic DNA from Methanocorpusculum labreanum strain Z [ATCC 43576],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/43576D-5.ashx,,,,
Lactobacillus plantarum subsp. plantarum (Orla-Jensen) Bergey et al. (ATCC 14917),$402.00 ,$341.70 ,seqeunce available,Lactobacillus plantarum (Orla-Jensen) Bergey et al.,Lp 39 [IAM 12477],1,freeze-dried,ATCC  416: Lactobacilli MRS Agar/Broth,Temperature: 37Celsius Atmosphere: 5% CO2,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Quality control strain,https://www.atcc.org/~/ps/14917.ashx,,,,
Leptospira interrogans serovar Copenhageni (ATCC BAA-1198D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Leptospira interrogans serovar Copenhageni strain Fiocruz L1-130 [ATCC BAA-1198],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1198D-5.ashx,,,,
Pedobacter heparinus (Payza and Korn) Stein et al. (ATCC 13125D-5),$336.00 ,$336.00 ,seqeunce available,NA,Genomic DNA from Pedobacter heparinus strain HIM 762-3 [ATCC 13125],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/13125D-5.ashx,,,,
Geobacter sulfurreducens Caccavo et al. (ATCC 51573),$376.00 ,$319.60 ,seqeunce available,NA,PCA,1,frozen,ATCC  1957: Geobacter medium,"Temperature: 26Celsius  to 30Celsius 
Atmosphere: Anaerobic gas mixture, 80% N2-10% CO2-10% H2 or 80% N2-20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Biotechnology,https://www.atcc.org/~/ps/51573.ashx,,,,
Thermus thermophilus (Oshima and Imahori) Williams et al. (ATCC BAA-163D-5),$336.00 ,$336.00 ,NA,NA,Genomic DNA from Thermus thermophilus Strain DSM 7039 [HB27] [ATCC BAA-163],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-163D-5.ashx,,,,
Ralstonia solanacearum (Smith) Yabuuchi et al. (ATCC BAA-1114),$376.00 ,$319.60 ,seqeunce available,NA,GMI1000,1,freeze-dried,"ATCC  2515: Marine , 1/2 strength",Temperature: 30Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1114.ashx,,,,
Mycoplasma fermentans  (ATCC 19989D),$336.00 ,$336.00 ,NA,Mycoplasma fermentans Edward,Genomic DNA from Mycoplasma fermentans strain PG18 [ATCC 19989],1,frozen Concentration:  1 ng/uLVolume:  50 uLTotal DNA:  50 ng,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/19989D.ashx,,,,
Corynebacterium matruchotii (Mendel) Collins (ATCC 14266),$376.00 ,$319.60 ,NA,Bacterionema matruchotii (Mendel) Gilmour et al.,"47 [IFO 15360, NCTC 10254, PCM 2414]",1,freeze-dried,"ATCC  44: Brain Heart Infusion Agar/Broth
ATCC  29: Brain heart infusion agar with yeast extract","Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/14266.ashx,,,,
Staphylococcus pseudintermedius (ATCC 49444),$376.00 ,$319.60 ,NA,Staphylococcus aureus,NA,2,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,"Examination of dairy products
CAMP test for Listeria monocytogenes",https://www.atcc.org/~/ps/49444.ashx,,,,
Ochrobactrum anthropi Holmes et al. (ATCC 49188),$376.00 ,$319.60 ,NA,NA,"NCTC 12168 [CIP 14970, CIP 82.115, CL 350/82, LMG 3331]",2,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 30Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/49188.ashx,,,,
Pseudomonas putida (Trevisan) Migula (ATCC 700007D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Pseudomonas putida strain F1 [ATCC 700007],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700007D-5.ashx,,,,
Micrococcus luteus (Schroeter) Cohn (ATCC 4698D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Micrococcus luteus [ATCC 4698],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/4698D-5.ashx,,,,
Genomic RNA from Severe acute respiratory syndrome-related coronavirus 2 (ATCC VR-1986D),$650.00 ,$650.00 ,seqeunce available,NA,NA,2,frozen 100 uL per vial,NA,NA,-70Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/VR-1986D.ashx,,,,
Quantitative Genomic RNA from Enterovirus 68 (ATCC VR-1826DQ),$541.00 ,$541.00 ,NA,NA,NA,1,frozen Specification range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-70Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/VR-1826DQ.ashx,,,,
Quantitative Genomic RNA from Human rhinovirus 1B Strain B632 (ATCC VR-1645DQ),$541.00 ,$541.00 ,NA,ATCC,NA,1,frozen Specification range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-70Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/VR-1645DQ.ashx,,,,
Vaginal Microbiome Whole Cell Mix (ATCC MSA-2007),$375.00 ,$318.75 ,NA,NA,NA,2,freeze-dried,NA,NA,2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/MSA-2007.ashx,,,,
Gut Microbiome Whole cell Mix (ATCC MSA-2006),$497.00 ,$422.45 ,NA,NA,NA,2,freeze-dried,NA,NA,2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/MSA-2006.ashx,,,,
Skin Microbiome Whole Cell Mix (ATCC MSA-2005),$375.00 ,$318.75 ,NA,NA,NA,2,freeze-dried,NA,NA,2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/MSA-2005.ashx,,,,
Oral Microbiome Whole Cell Mix (ATCC MSA-2004),$375.00 ,$318.75 ,NA,NA,NA,2,freeze-dried,NA,NA,2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/MSA-2004.ashx,,,,
Vaginal Microbiome Genomic Mix (ATCC MSA-1007),$265.00 ,$225.25 ,NA,NA,NA,1,frozen 50 uL in Tris-HCl pH 8.5,NA,NA,-20Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/MSA-1007.ashx,,,,
Gut Microbiome Genomic Mix (ATCC MSA-1006),$375.00 ,$318.75 ,NA,NA,NA,1,frozen 50 uL in Tris-HCl pH 8.5,NA,NA,-20Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/MSA-1006.ashx,,,,
Skin Microbiome Genomic Mix (ATCC MSA-1005),$265.00 ,$225.25 ,NA,NA,NA,1,frozen 50 uL in Tris-HCl pH 8.5,NA,NA,-20Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/MSA-1005.ashx,,,,
Oral Microbiome Genomic Mix (ATCC MSA-1004),$265.00 ,$225.25 ,NA,NA,NA,1,frozen 50 uL in Tris-HCl pH 8.5,NA,NA,-20Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/MSA-1004.ashx,,,,
"NGS-Ready DNA from Deinococcus radiodurans, strain USUHS (ATCC BAA-816DX)","For-Profit:
$376.00",,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-816DX.ashx,,,,
"Quantitative Genomic DNA from Listeria monocytogenes
 (ATCC BAA-679DQ)",$541.00 ,$541.00 ,NA,NA,NA,1,frozen Specification range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/BAA-679DQ.ashx,,,,
"NGS-Ready DNA from Neisseria meningitidis, strain MC58 (ATCC BAA-335DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-335DX.ashx,,,,
Streptococcus thermophilus Orla-Jensen (ATCC BAA-3150),$376.00 ,$319.60 ,NA,Streptococcus thermophilus,IDCC 2201,1,frozen,"ATCC  416: Lactobacilli MRS Agar/Broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: 5% CO2",-80Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/BAA-3150.ashx,,,,
Lactobacillus johnsonii Fujisawa et al. (ATCC BAA-3147),$376.00 ,$319.60 ,NA,Lactobacillus johnsonii,IDCC 9203,1,frozen,ATCC  416: Lactobacilli MRS Agar/Broth,"Temperature: 37Celsius 
Atmosphere: 5% CO2",-80Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/BAA-3147.ashx,,,,
Listeria monocytogenes (Murray et al.) Pirie (ATCC BAA-3134),$376.00 ,$319.60 ,NA,Listeria monocytogenes,CFSAN006121,2,frozen,ATCC  44: Brain Heart Infusion Agar/Broth,"Temperature: 37Celsius 
Atmosphere: Aerobic",-80Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/BAA-3134.ashx,,,,
Listeria monocytogenes (Murray et al.) Pirie (ATCC BAA-3131),$376.00 ,$319.60 ,NA,Listeria monocytogenes,CFSAN000778,2,frozen,ATCC  44: Brain Heart Infusion Agar/Broth,"Temperature: 37Celsius 
Atmosphere: Aerobic",-80Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/BAA-3131.ashx,,,,
Listeria monocytogenes (Murray et al.) Pirie (ATCC BAA-3135),$376.00 ,$319.60 ,NA,Listeria monocytogenes,CFSAN034257,2,frozen,ATCC  44: Brain Heart Infusion Agar/Broth,"Temperature: 37Celsius 
Atmosphere: Aerobic",-80Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/BAA-3135.ashx,,,,
"NGS-Ready DNA from Serratia sp., strain 938677 (ATCC BAA-2808DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2808DX.ashx,,,,
"NGS-Ready DNA from Acinetobacter baumannii, strain 1103521 (ATCC BAA-2801DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2801DX.ashx,,,,
Francisella opportunistica (ATCC BAA-2974),$376.00 ,$319.60 ,NA,NA,PA05-1188,2,frozen,ATCC  814: GC Agar/Broth,Temperature: 35Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-2974.ashx,,,,
"NGS-Ready DNA from Acinetobacter baumannii, strain 1109222 (ATCC BAA-2802DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2802DX.ashx,,,,
"NGS-Ready DNA from Proteus mirabilis, strain 1104843 (ATCC BAA-2792DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2792DX.ashx,,,,
"NGS-Ready DNA from Proteus mirabilis, strain 927889 (ATCC BAA-2791DX)","For-Profit:
$395.00",,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2791DX.ashx,,,,
"NGS-Ready DNA from Pseudomonas aeruginosa, strain 1145009 (ATCC BAA-2799DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2799DX.ashx,,,,
"NGS-Ready DNA from Pseudomonas aeruginosa, strain 1106434 (ATCC BAA-2796DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2796DX.ashx,,,,
"NGS-Ready DNA from Pseudomonas aeruginosa, strain 1079232 (ATCC BAA-2794DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2794DX.ashx,,,,
"NGS-Ready DNA from Klebsiella pneumoniae, BK33650 (ATCC BAA-2785DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2785DX.ashx,,,,
"NGS-Ready DNA from Klebsiella pneumoniae, strain 972863 (ATCC BAA-2783DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2783DX.ashx,,,,
"NGS-Ready DNA from Klebsiella pneumoniae, strain 931476 (ATCC BAA-2782DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2782DX.ashx,,,,
Quantitative Genomic DNA from Staphylococcus aureus subsp. aureus (ATCC BAA-1717DQ),$541.00 ,$541.00 ,NA,NA,NA,1,frozen Specification range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/BAA-1717DQ.ashx,,,,
"NGS-Ready DNA from Escherichia coli, strain P68 (ATCC BAA-1431DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-1431DX.ashx,,,,
"NGS-Ready DNA from Staphylococcus aureus subsp. aureus, strain FPR3757 (ATCC BAA-1556DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-1556DX.ashx,,,,
Quantitative Genomic DNA from Haemophilus influenzae (ATCC 51907DQ),$578.00 ,$578.00 ,seqeunce available,NA,NA,1,frozen Specification range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC??Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/51907DQ.ashx,,,,
"NGS-Ready DNA from Staphylococcus pseudintermedius, strain AB 219 (ATCC 49051DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/49051DX.ashx,,,,
"NGS-Ready DNA from Bordetella bronchiseptica, strain NRRL B-140 (ATCC 4617DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/4617DX.ashx,,,,
"NGS-Ready DNA from Escherichia coli, strain CDC B6914-MS1 [serotype O157:H7] (ATCC 43888DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/43888DX.ashx,,,,
"NGS-Ready DNA from Salmonella enterica subsp. enterica serovar Senftenberg, strain NCTC 9959 (ATCC 43845DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/43845DX.ashx,,,,
